BEGIN,EntityId=424017,Frequency=ponctuel
EntityId=424017,ReportTypeName=Multiple,Frequency=ponctuel,FromDate=2025-10-16,ToDate=2025-10-18,GenerationDate=2025-11-17,GenerationTime=10:58:12
"Type de dossier","Code de devise de la présentation","Code de devise de règlement","Type de MOP","Code de réponse","Response Description","Code d’approbation de l’autorisation de l’entreprise","Nombre total de transactions","Montant","Nombre de transactions refusées","Pourcentage du nombre total d'autorisations","Pourcentage de statut d'autorisation","Pourcentage de refus de transactions"
"Authorization Summary","USD","USD","American Express  (AX)","100","Approuvé","Approved","676","50296.04000000","0","0.9122807018","1","0"
"Authorization Summary","USD","USD","American Express  (AX)","104","Aucune raison pour un refus","Not Approved","23","0.00000000","23","0.0310391363","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","201","Numéro de compte CC incorrect","Not Approved","10","2010.00000000","10","0.01349527665","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","302","Limite de crédit","Not Approved","7","2114.00000000","7","0.009446693657","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","303","Refus du responsable du traitement","Not Approved","4","1212.00000000","4","0.005398110661","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","501","Récupérez","Not Approved","7","3507.00000000","7","0.009446693657","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","530","Ne pas reconnaître","Not Approved","7","3710.00000000","7","0.009446693657","1","1"
"Authorization Summary","USD","USD","American Express  (AX)","904","Invalid Effective Date","Not Approved","7","6328.00000000","7","0.009446693657","1","1"
"Authorization Summary","USD","USD","Discover  (DI)","100","Approuvé","Approved","134","4444.08000000","0","0.9178082192","1","0"
"Authorization Summary","USD","USD","Discover  (DI)","104","Aucune raison pour un refus","Not Approved","6","0.00000000","6","0.04109589041","1","1"
"Authorization Summary","USD","USD","Discover  (DI)","595","Nouvelle carte émise","Not Approved","6","3570.00000000","6","0.04109589041","1","1"
"Authorization Summary","USD","USD","Discover Diners (DD)","100","Approuvé","Approved","126","3544.08000000","0","0.875","1","0"
"Authorization Summary","USD","USD","Discover Diners (DD)","104","Aucune raison pour un refus","Not Approved","18","0.00000000","18","0.125","1","1"
"Authorization Summary","USD","USD","JCB  (JC)","100","Approuvé","Approved","126","3824.08000000","0","0.9545454545","1","0"
"Authorization Summary","USD","USD","JCB  (JC)","104","Aucune raison pour un refus","Not Approved","6","0.00000000","6","0.04545454545","1","1"
"Authorization Summary","ARS","USD","MasterCard  (MC) - Credit","100","Approuvé","Approved","287","12711.00000000","0","0.1360834519","0.1389157793","0"
"Authorization Summary","CLP","USD","MasterCard  (MC) - Credit","100","Approuvé","Approved","282","1225100.00000000","0","0.13371266","0.1364956438","0"
"Authorization Summary","MXN","USD","MasterCard  (MC) - Credit","100","Approuvé","Approved","351","14472.80000000","0","0.1664295875","0.169893514","0"
"Authorization Summary","PEN","USD","MasterCard  (MC) - Credit","100","Approuvé","Approved","285","38350.40000000","0","0.1351351351","0.1379477251","0"
"Authorization Summary","USD","USD","MasterCard  (MC) - Credit","100","Approuvé","Approved","861","50763.99000000","0","0.4082503556","0.4167473379","0"
"Authorization Summary","ARS","USD","MasterCard  (MC) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001896633476","0.16","0.16"
"Authorization Summary","CLP","USD","MasterCard  (MC) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001896633476","0.16","0.16"
"Authorization Summary","MXN","USD","MasterCard  (MC) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001896633476","0.16","0.16"
"Authorization Summary","PEN","USD","MasterCard  (MC) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001896633476","0.16","0.16"
"Authorization Summary","USD","USD","MasterCard  (MC) - Credit","104","Aucune raison pour un refus","Not Approved","9","0.00000000","9","0.00426742532","0.36","0.36"
"Authorization Summary","ARS","USD","MasterCard  (MC) - Credit","304","Ne figure pas dans les dossiers","Not Approved","4","1216.00000000","4","0.001896633476","0.2222222222","0.2222222222"
"Authorization Summary","MXN","USD","MasterCard  (MC) - Credit","304","Ne figure pas dans les dossiers","Not Approved","4","1216.00000000","4","0.001896633476","0.2222222222","0.2222222222"
"Authorization Summary","PEN","USD","MasterCard  (MC) - Credit","304","Ne figure pas dans les dossiers","Not Approved","4","1216.00000000","4","0.001896633476","0.2222222222","0.2222222222"
"Authorization Summary","USD","USD","MasterCard  (MC) - Credit","304","Ne figure pas dans les dossiers","Not Approved","6","1824.00000000","6","0.002844950213","0.3333333333","0.3333333333"
"Authorization Summary","COP","USD","MasterCard  (MC) - Signature Debit","100","Approuvé","Approved","288","12586.20000000","0","0.5236363636","0.5373134328","0"
"Authorization Summary","USD","USD","MasterCard  (MC) - Signature Debit","100","Approuvé","Approved","248","15968.04000000","0","0.4509090909","0.4626865672","0"
"Authorization Summary","COP","USD","MasterCard  (MC) - Signature Debit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.007272727273","0.4","0.4"
"Authorization Summary","USD","USD","MasterCard  (MC) - Signature Debit","104","Aucune raison pour un refus","Not Approved","6","0.00000000","6","0.01090909091","0.6","0.6"
"Authorization Summary","COP","USD","MasterCard  (MC) - Signature Debit","304","Ne figure pas dans les dossiers","Not Approved","4","1216.00000000","4","0.007272727273","1","1"
"Authorization Summary","ARS","USD","Visa  (VI) - Credit","100","Approuvé","Approved","265","11535.00000000","0","0.1261904762","0.1284537082","0"
"Authorization Summary","COP","USD","Visa  (VI) - Credit","100","Approuvé","Approved","265","11572.00000000","0","0.1261904762","0.1284537082","0"
"Authorization Summary","PEN","USD","Visa  (VI) - Credit","100","Approuvé","Approved","267","32552.00000000","0","0.1271428571","0.1294231701","0"
"Authorization Summary","USD","USD","Visa  (VI) - Credit","100","Approuvé","Approved","1266","81808.02000000","0","0.6028571429","0.6136694135","0"
"Authorization Summary","ARS","USD","Visa  (VI) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001904761905","0.1290322581","0.1290322581"
"Authorization Summary","COP","USD","Visa  (VI) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001904761905","0.1290322581","0.1290322581"
"Authorization Summary","PEN","USD","Visa  (VI) - Credit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.001904761905","0.1290322581","0.1290322581"
"Authorization Summary","USD","USD","Visa  (VI) - Credit","104","Aucune raison pour un refus","Not Approved","19","0.00000000","19","0.009047619048","0.6129032258","0.6129032258"
"Authorization Summary","USD","USD","Visa  (VI) - Credit","401","Refus","Not Approved","6","2406.00000000","6","0.002857142857","1","1"
"Authorization Summary","CLP","USD","Visa  (VI) - Signature Debit","100","Approuvé","Approved","266","1164200.00000000","0","0.4626086957","0.4691358025","0"
"Authorization Summary","MXN","USD","Visa  (VI) - Signature Debit","100","Approuvé","Approved","299","12492.00000000","0","0.52","0.5273368607","0"
"Authorization Summary","USD","USD","Visa  (VI) - Signature Debit","100","Approuvé","Approved","2","4.04000000","0","0.00347826087","0.003527336861","0"
"Authorization Summary","CLP","USD","Visa  (VI) - Signature Debit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.006956521739","0.5","0.5"
"Authorization Summary","MXN","USD","Visa  (VI) - Signature Debit","104","Aucune raison pour un refus","Not Approved","4","0.00000000","4","0.006956521739","0.5","0.5"
"Type de dossier","Identificateur de l’entité","Code de devise de la présentation","Code de devise de règlement","Code du mode de paiement","Numéro de commande de commerçant","Texte du code d’action de commerçant","Montant de l’autorisation","Numéro de compte","Expiration de la carte de crédit année mois numéro","Texte de type de transaction","Horodatage d’autorisation","Code d’autorisation","Réponse d’autorisation de la marque de paiement","Catégorie de code de réponse de la marque de paiement","Code de réponse d’autorisation PTI","Initiateur d’autorisation","Code source d’autorisation","Source d’authentification de PDV","Code de catégorie de commerçant","Pays d’émission","Texte de méthode du jeton numérique","Code de type de carte prépayée","Code de carte commerciale","Type d’utilisation de la carte","Identificateur de la transaction de paiement","Identificateur de terminal"
"Authorization Details","425265","ARS","USD","MC","2dYOqchfXFDIeSRdYbYvx3","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:23.000","tst064","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","84335042-c102-4dc4-a4f8-130f45d8ee53",""
"Authorization Details","425265","ARS","USD","MC","2dYOqchfXFDIeSRdYbYvx3","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:23.000","tst064","000","","100","Commerçant","M","5","4899","AR","","","","1","84335042-c102-4dc4-a4f8-130f45d8ee53",""
"Authorization Details","425265","ARS","USD","MC","30j8xRRyNDWAqOpL1D1nci","AUTORISATIONS","0.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-16 09:32:10.000","tst776","000","X","104","Commerçant","V","5","4899","AR","","N","N","1","1dcc8f33-b13f-45d3-a216-9c639f13b87f",""
"Authorization Details","425265","ARS","USD","MC","3HarvMcYBgk59h866VpL2l","AUTORISATIONS","43.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:17.000","tst054","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","474cfb29-a58d-4e15-abfd-674b379f14e7",""
"Authorization Details","425265","ARS","USD","MC","4TI03n8QNGbT2In2CFg21O","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-16 09:31:36.000","tst751","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","33128621-87c8-4db5-95f6-d5bab2d86590",""
"Authorization Details","425265","ARS","USD","MC","4TI03n8QNGbT2In2CFg21O","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-16 09:31:36.000","tst751","000","","100","Commerçant","M","5","4899","AR","","","","1","33128621-87c8-4db5-95f6-d5bab2d86590",""
"Authorization Details","425265","ARS","USD","MC","4kvULf9MxL0w4UG9dfJX6g","AUTORISATIONS","23.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:40.000","tst454","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","1874a734-d59f-41e0-bef2-491b9bb1490d",""
"Authorization Details","425265","ARS","USD","MC","4kvULf9MxL0w4UG9dfJX6g","Dépôts","23.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:40.000","tst454","000","","100","Commerçant","M","5","4899","AR","","","","1","1874a734-d59f-41e0-bef2-491b9bb1490d",""
"Authorization Details","425265","ARS","USD","MC","5uJxSGgHsBTKQpNk6FM79y","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-17 08:34:00.000","tst480","000","","100","Commerçant","M","5","4899","AR","","","","1","465520f0-51b0-4492-92db-e6c1b16bfb31",""
"Authorization Details","425265","ARS","USD","MC","5uJxSGgHsBTKQpNk6FM79y","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-17 08:34:00.000","tst480","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","465520f0-51b0-4492-92db-e6c1b16bfb31",""
"Authorization Details","425265","ARS","USD","MC","64yAfn7EWS8uHdarN3nmU5","AUTORISATIONS","20.00000000","510211XXXXXX0029","05/40","Indicateur ECI-transaction cryptée par le réseau","2025-10-16 18:24:58.000","tst939","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","ac6806d5-84be-4d09-9963-313c4cf2f92e",""
"Authorization Details","425265","ARS","USD","MC","64yAfn7EWS8uHdarN3nmU5","Dépôts","20.00000000","510211XXXXXX0029","05/40","Indicateur ECI-transaction cryptée par le réseau","2025-10-16 18:24:58.000","tst939","000","","100","Commerçant","M","5","4899","AR","","","","1","ac6806d5-84be-4d09-9963-313c4cf2f92e",""
"Authorization Details","425265","ARS","USD","MC","6pHIF8pX5dEhziWtEcmbYH","AUTORISATIONS","33.80000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:45.000","tst457","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","cc663083-6250-47ef-a329-8865a2d7e242",""
"Authorization Details","425265","ARS","USD","MC","6pHIF8pX5dEhziWtEcmbYH","Dépôts","33.80000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:45.000","tst457","000","","100","Commerçant","M","5","4899","AR","","","","1","cc663083-6250-47ef-a329-8865a2d7e242",""
"Authorization Details","425265","ARS","USD","MC","7L4D1GWW9hDzWURWRWWOnL","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-16 18:24:57.000","tst932","000","","100","Commerçant","M","5","4899","AR","","","","1","24c4237a-af3f-4298-8690-f7b478038432",""
"Authorization Details","425265","ARS","USD","MC","7L4D1GWW9hDzWURWRWWOnL","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-16 18:24:57.000","tst932","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","24c4237a-af3f-4298-8690-f7b478038432",""
"Authorization Details","425265","ARS","USD","MC","7VxCl1xsIAY7p6u6OC2oOr","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-16 09:31:57.000","tst766","000","","100","Commerçant","M","5","4899","AR","","","","1","0081478b-240c-4338-8830-b360943f314b",""
"Authorization Details","425265","ARS","USD","MC","7VxCl1xsIAY7p6u6OC2oOr","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur MOTO-transaction récurrente","2025-10-16 09:31:57.000","tst766","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","0081478b-240c-4338-8830-b360943f314b",""
"Authorization Details","425265","ARS","USD","MC","8JcfyX17Lx6GAqwHKuP56L","AUTORISATIONS","23.20000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:13.000","tst049","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","cf3558f1-b569-44ce-a723-cd2a39ec349b",""
"Authorization Details","425265","ARS","USD","MC","8JcfyX17Lx6GAqwHKuP56L","Dépôts","23.20000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:13.000","tst049","000","","100","Commerçant","M","5","4899","AR","","","","1","cf3558f1-b569-44ce-a723-cd2a39ec349b",""
"Authorization Details","425265","ARS","USD","MC","8R0S5RcD8PjZntYSAkLNnU","AUTORISATIONS","23.20000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:46.000","tst458","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","e477d42b-b8c8-4658-ba5f-a61781654d03",""
"Authorization Details","425265","ARS","USD","MC","8R0S5RcD8PjZntYSAkLNnU","Dépôts","23.20000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 08:33:46.000","tst458","000","","100","Commerçant","M","5","4899","AR","","","","1","e477d42b-b8c8-4658-ba5f-a61781654d03",""
"Authorization Details","425265","ARS","USD","MC","8YFWct84kqIGGcpi7Zb4Qd","AUTORISATIONS","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:25.000","tst066","000","X","100","Commerçant","V","5","4899","AR","","N","N","1","f621ce52-8d71-4dc0-8b33-c8fc07658e30",""
"Authorization Details","425265","ARS","USD","MC","8YFWct84kqIGGcpi7Zb4Qd","Dépôts","22.00000000","510211XXXXXX0029","12/34","Indicateur ECI-transaction cryptée par le réseau","2025-10-17 15:46:25.000","tst066","000","","100","Commerçant","M","5","4899","AR","","","","1","f621ce52-8d71-4dc0-8b33-c8fc07658e30",""
