repository_name,site,views,unique_visitors/cloners
online-payments,DuckDuckGo,1,1
online-payments,Google,81,5
online-payments,confluence.prod.aws.jpmchase.net,1,1
online-payments,developer-console.prod.aws.jpmchase.net,2,2
online-payments,developer.payments.jpmorgan.com,34,4
online-payments,embedded-banking-dev.com,26,1
online-payments,github.com,66,8
online-payments,jirafnd.dev.activenetwork.com,2,2
online-payments,jpmorgan.com,1,1
online-payments,online-payments-dev.com,2,2
online-payments,payments-preview.prod.aws.jpmchase.net,2,1
