repository_name,date,views,unique_visitors/cloners
online-payments,2024-01-17,5,4
online-payments,2024-01-18,43,8
online-payments,2024-01-19,58,6
online-payments,2024-01-20,1,1
online-payments,2024-01-21,1,1
online-payments,2024-01-22,139,13
online-payments,2024-01-23,24,8
online-payments,2024-01-24,29,5
online-payments,2024-01-25,64,15
online-payments,2024-01-26,9,7
online-payments,2024-01-27,28,1
online-payments,2024-01-29,11,8
online-payments,2024-01-30,31,6
online-payments,2024-01-31,8,7
online-payments,2024-02-01,7,5
online-payments,2024-02-02,11,5
online-payments,2024-02-05,2,2
online-payments,2024-02-06,11,5
online-payments,2024-02-07,38,5
online-payments,2024-02-08,14,6
online-payments,2024-02-09,15,3
online-payments,2024-02-10,2,1
online-payments,2024-02-11,7,1
online-payments,2024-02-12,22,2
online-payments,2024-02-13,32,5
online-payments,2024-02-14,52,6
online-payments,2024-02-15,30,5
online-payments,2024-02-16,14,6
online-payments,2024-02-18,1,1
online-payments,2024-02-19,52,5
online-payments,2024-02-20,42,4
online-payments,2024-02-21,46,7
online-payments,2024-02-22,36,3
online-payments,2024-02-23,4,3
online-payments,2024-02-24,20,1
online-payments,2024-02-26,18,3
online-payments,2024-02-27,63,9
online-payments,2024-02-28,18,5
online-payments,2024-02-29,2,2
online-payments,2024-03-01,28,4
online-payments,2024-03-03,18,2
online-payments,2024-03-04,13,5
online-payments,2024-03-05,18,4
online-payments,2024-03-06,5,4
online-payments,2024-03-07,14,5
online-payments,2024-03-08,130,8
online-payments,2024-03-09,2,1
online-payments,2024-03-11,24,8
online-payments,2024-03-12,15,4
online-payments,2024-03-13,58,8
online-payments,2024-03-14,12,2
online-payments,2024-03-15,14,6
online-payments,2024-03-16,1,1
online-payments,2024-03-17,1,1
online-payments,2024-03-18,17,4
online-payments,2024-03-19,1,1
online-payments,2024-03-20,8,3
online-payments,2024-03-21,18,3
online-payments,2024-03-22,2,2
online-payments,2024-03-24,38,1
online-payments,2024-03-25,26,4
online-payments,2024-03-26,3,3
online-payments,2024-03-27,12,6
online-payments,2024-03-28,6,3
online-payments,2024-03-29,2,2
online-payments,2024-04-01,2,2
online-payments,2024-04-02,42,3
online-payments,2024-04-03,7,2
online-payments,2024-04-04,7,2
online-payments,2024-04-05,6,1
online-payments,2024-04-08,8,5
online-payments,2024-04-09,10,4
online-payments,2024-04-10,1,1
online-payments,2024-04-11,1,1
online-payments,2024-04-12,11,3
online-payments,2024-04-15,2,1
online-payments,2024-04-16,28,3
online-payments,2024-04-17,6,3
online-payments,2024-04-18,1,1
online-payments,2024-04-19,2,2
online-payments,2024-04-21,2,2
online-payments,2024-04-22,2,2
online-payments,2024-04-23,2,2
online-payments,2024-04-24,8,2
online-payments,2024-04-25,1,1
online-payments,2024-04-26,7,1
online-payments,2024-04-28,12,1
online-payments,2024-04-29,29,2
online-payments,2024-04-30,33,6
online-payments,2024-05-01,13,6
online-payments,2024-05-02,1,1
online-payments,2024-05-03,1,1
online-payments,2024-05-06,1,1
online-payments,2024-05-07,13,7
online-payments,2024-05-08,21,6
online-payments,2024-05-09,5,4
online-payments,2024-05-10,5,5
online-payments,2024-05-13,7,4
online-payments,2024-05-14,26,10
online-payments,2024-05-15,5,4
online-payments,2024-05-16,4,2
online-payments,2024-05-17,21,3
online-payments,2024-05-18,3,1
online-payments,2024-05-20,2,2
online-payments,2024-05-21,7,7
online-payments,2024-05-22,6,4
online-payments,2024-05-23,8,5
online-payments,2024-05-24,4,2
online-payments,2024-05-25,1,1
online-payments,2024-05-28,17,4
online-payments,2024-05-29,23,2
online-payments,2024-05-30,50,12
online-payments,2024-05-31,3,1
online-payments,2024-06-03,5,3
online-payments,2024-06-04,78,10
online-payments,2024-06-05,11,5
online-payments,2024-06-06,20,10
online-payments,2024-06-07,2,2
online-payments,2024-06-08,3,1
online-payments,2024-06-10,21,4
online-payments,2024-06-11,11,4
online-payments,2024-06-12,3,3
online-payments,2024-06-13,2,2
online-payments,2024-06-14,7,4
online-payments,2024-06-16,1,1
online-payments,2024-06-17,16,8
online-payments,2024-06-18,21,10
online-payments,2024-06-19,5,1
online-payments,2024-06-20,6,3
online-payments,2024-06-21,1,1
online-payments,2024-06-22,42,1
online-payments,2024-06-23,1,1
online-payments,2024-06-24,15,5
online-payments,2024-06-25,2,2
online-payments,2024-06-26,12,2
online-payments,2024-06-27,1,1
online-payments,2024-06-28,39,3
online-payments,2024-07-01,4,4
online-payments,2024-07-02,15,3
online-payments,2024-07-03,20,4
online-payments,2024-07-05,5,4
online-payments,2024-07-06,5,1
online-payments,2024-07-08,4,2
online-payments,2024-07-09,12,7
online-payments,2024-07-10,33,5
online-payments,2024-07-11,32,6
online-payments,2024-07-12,7,4
online-payments,2024-07-13,1,1
online-payments,2024-07-14,14,1
online-payments,2024-07-15,81,9
online-payments,2024-07-16,8,4
online-payments,2024-07-17,45,11
online-payments,2024-07-18,10,5
online-payments,2024-07-19,1,1
online-payments,2024-07-20,1,1
online-payments,2024-07-21,56,2
online-payments,2024-07-22,13,5
online-payments,2024-07-23,2,1
online-payments,2024-07-25,1,1
online-payments,2024-07-26,13,3
online-payments,2024-07-27,21,4
online-payments,2024-07-29,40,10
online-payments,2024-07-30,17,6
online-payments,2024-07-31,10,3
online-payments,2024-08-01,2,1
online-payments,2024-08-02,7,3
