repository_name,date,views,unique_visitors/cloners
online-payments,2024-01-19,58,6
online-payments,2024-01-29,11,8
online-payments,2024-01-20,1,1
online-payments,2024-02-01,7,5
online-payments,2024-01-30,44,7
online-payments,2024-01-21,1,1
online-payments,2024-02-02,1,1
online-payments,2024-01-31,75,10
online-payments,2024-01-22,139,13
online-payments,2024-01-23,24,8
online-payments,2024-01-24,29,5
online-payments,2024-01-25,67,17
online-payments,2024-01-26,10,7
online-payments,2024-01-17,5,4
online-payments,2024-01-27,28,1
online-payments,2024-01-18,43,8
