BEGIN,EntityId=418553,Frequency=adhoc
EntityId=418553,ReportTypeName=Multiple,Frequency=adhoc,FromDate=2025-03-03,ToDate=2025-03-04,GenerationDate=2025-03-13,GenerationTime=19:22:13
Record Type,Presentment Currency Code,Settlement Currency Code,Payment Method Code,Conveyed Sales Count,Conveyed Sales Amount,Conveyed Refund Count,Conveyed Refund Amount,,
Conveyed Deposit Summary,AED,GBP,AX,0,0,1,-100,,
Conveyed Deposit Summary,AZN,GBP,AX,0,0,2,-200,,
Conveyed Deposit Summary,EUR,EUR,AX,0,0,1,-100,,
Record Type,Presentment Currency Code,Settlement Currency Code,Payment Method Code,Settled Sales Count,Settled Sales Amount in Presentment Currency,Settled Sales Amount in Settlement Currency,Settled Refund Count,Settled Refund Amount in Presentment Currency,Settled Refund Amount in Settlement Currency
Settled Deposit Summary,AED,GBP,VI,3,300,60.18,0,0,0
Settled Deposit Summary,AZN,GBP,VI,2,200,87.32,0,0,0
Settled Deposit Summary,EUR,EUR,VI,1,100,100,0,0,0
Settled Deposit Summary,USD,USD,VI,672,219367.82,219367.82,53,-588.34,-588.34
Settled Deposit Summary,AZN,GBP,MC,4,220,96.06,0,0,0
Settled Deposit Summary,EUR,EUR,MC,3,300,300,0,0,0
Settled Deposit Summary,USD,USD,MC,70,1450.1,1450.1,24,-362.03,-362.03
Settled Deposit Summary,USD,USD,JC,3,21.06,21.06,1,-8.01,-8.01
Settled Deposit Summary,EUR,EUR,ED,77,116049.84,116049.84,0,0,0
Settled Deposit Summary,USD,USD,DI,28,628.1,628.1,17,-294.01,-294.01
Settled Deposit Summary,USD,USD,DD,0,0,0,1,-6.02,-6.02
Settled Deposit Summary,USD,USD,CZ,9,332.34,332.34,0,0,0
Record Type,Presentment Currency Code,Settlement Currency Code,Net Settled Deposits Amount,Interchange & Assessment Fees,Processing Fees,Chargeback Adjustments,Other Fees & Adjustments,Net Financial Activity,Foreign Exchange Rate
Fees & Adjustments Summary,AED,GBP,40.12,-1.1,-1,0,0,38.02,0.200618529
Fees & Adjustments Summary,AED,GBP,20.06,-0.55,-0.25,0,0,19.26,1
Fees & Adjustments Summary,AZN,GBP,183.38,-3.97,-2.6,0,0,176.81,0.436618775
Fees & Adjustments Summary,EUR,EUR,116449.84,-7.69,-19.56999974,0,0,116422.58,1
Fees & Adjustments Summary,GBP,GBP,0,-0.03,-0.85,0,0,-0.88,1
Fees & Adjustments Summary,USD,USD,220541.01,-7435.170001,-127.2099989,0,0,212978.63,1
Record Type,Activity Date,Presentment Currency Code,Settlement Currency Code,Funds Transfer Category Description,Fund Transfer Instruction Number,Fund Transfer Identifier,Merchant Activity Date Range,Fund Transfer Effective Date,Funds Transfer Amount
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1117906725,2025-02-03 thru 2025-02-03,2/5/2025,1681.28
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387587,1117906619,2025-02-03 thru 2025-02-03,2/6/2025,-0.03
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1117923306,2025-02-04 thru 2025-02-04,2/6/2025,2404.39
