Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Multiple,Fréquence=ponctuel,Du [date]=2025-10-23,AU [date]=2025-10-30,Date de génération=2025-11-10,Durée d’une génération=14:15:28
"Type de dossier","Code de devise de la présentation","Code de devise de règlement","Code du mode de paiement","Texte de la catégorie de frais","Texte de la sous-catégorie de frais","Texte du code de type d’action","Identificateur du barème des frais de service aux commerçants","Texte des frais","Code de qualification d’interchange","Quantité unitaire","Montant des frais de service","Montant de la transaction","Taux des frais","Total de frais","Taxe de vente","Impôt fédéral","Taxes provinciales","Total des frais après impôt"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Autres frais","REMBOURSEMENT","29283915","Passerelle - frais de transaction","NONE","8","0.000000000","800.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Autres frais","AUT.","29283915","Passerelle - frais de transaction","NONE","1131","0.000000000","99865.70000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Commerce transféré","NONE","76","0.100000000","-3584.12000000","0.00000000","-7.60000000","0.00000000","0.00000000","0.00000000","-7.60000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","NONE","76","0.017500000","-3584.12000000","0.00000000","-1.46999999","0.00000000","0.00000000","0.00000000","-1.46999999"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais de dépôt","VENTE","29283915","Commerce transféré","NONE","620","0.100000000","-43556.62000000","0.00000000","-62.00000000","0.00000000","0.00000000","0.00000000","-62.00000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","NONE","620","0.017500000","-43556.62000000","0.00000000","-11.00999909","0.00000000","0.00000000","0.00000000","-11.00999909"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","AUT.","29283915","Commerce plus","NONE","976","0.150000000","-99865.70000000","0.00000000","-146.40000000","0.00000000","0.00000000","0.00000000","-146.40000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","66","0.000000000","2808.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","899","0.017500000","-96242.70000000","0.00000000","-16.06000072","0.00000000","0.00000000","0.00000000","-16.06000072"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","VENTE","null","Transaction refusée","","3","0.017500000","-300.00000000","","-0.06000000","0.00000000","0.00000000","0.00000000","-0.06000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","VENTE","29283915","Préautorisation CPU","NONE","6","0.017500000","-54.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","AX","Frais de traitement","Frais d’autorisation","VENTE","29283915","Commerce plus","NONE","6","0.150000000","-54.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","CZ","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Taux d’escompte du commerçant Chase","CMCR","8","0.000000000","380.68000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","CZ","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Taux d’escompte du commerçant Chase","CNCR","168","0.000000000","4674.89000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","DCA1","6","0.000000000","72.12000000","-0.02250000","1.62000000","0.00000000","0.00000000","0.00000000","1.62000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","DNON","43","0.000000000","903.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","D811","233","0.100000000","-6393.70000000","0.01900000","-144.74000006","0.00000000","0.00000000","0.00000000","-144.74000006"
