BEGIN,EntityId=418553,Frequency=adhoc
EntityId=418553,ReportTypeName=SubmissionDetails,Frequency=adhoc,FromDate=2025-03-03,ToDate=2025-03-04,GenerationDate=2025-03-13,GenerationTime=20:20:44
Activity Date,Entity Type Code,Entity Identifier,Merchant Order Number,Payment Method Code,Presentment Currency Code,Settlement Currency Code,Foreign Exchange Rate,Fund Transfer Instruction Number,Transaction Amount in Presentment Currency,Transaction Amount in Settlement Currency,Settled Deposit Amount,Interchange & Assessment Fees,Back Up Withholding Adjustments,Chargeback Adjustments,Discount Fees,ECP Return Adjustments,Other Adjustments,Processing Fees,Reserve Adjustments,Others,Net Financial Activity
3/3/2025,TD,418554,xaZHtAYrS0OY3ZWJ6Gn9cA,VI,USD,USD,1,4383826,10,10,10,-2.97392857,0,0,0,0,0,-0.10428571,0,0,6.92178572
3/3/2025,TD,418554,CrYsdMCPSfSONfbHRcZ17Q,VI,USD,USD,1,4383826,115,115,115,-3.62342857,0,0,0,0,0,-0.10428571,0,0,111.2722857
3/3/2025,TD,418554,IFJOZF1uCBzyGc9wJTBaIT,VI,USD,USD,1,4383826,100,100,100,-3.36924812,0,0,0,0,0,-0.10373434,0,0,96.52701754
3/3/2025,TD,418554,Bxgo3qPtKreHj0OhtO3Wl1,VI,USD,USD,1,4383826,0,0,0,-0.08,0,0,0,0,0,-0.09,0,0,-0.17
3/3/2025,TD,418554,CcRg17chRLX5MxFggjOWsg,VI,USD,USD,1,4383826,10,10,10,-40.8431324,0,0,0,0,0,-0.10401891,0,0,-30.94715131
3/3/2025,TD,418554,zRytYhK2QYXiwbU3DLNgIg,VI,USD,USD,1,4383826,5,5,5,-30.44913333,0,0,0,0,0,-0.1987,0,0,-25.64783333
3/3/2025,TD,418554,K6gEJSKkQ520UnKgKpnsIw,VI,USD,USD,1,4383826,0,0,0,-0.02714285,0,0,0,0,0,-0.05928571,0,0,-0.08642856
3/3/2025,TD,418554,pf4qlWxWRk2uVhENXk78Ng,VI,USD,USD,1,4383826,5,5,5,-52.33642857,0,0,0,0,0,-0.10380952,0,0,-47.44023809
3/3/2025,TD,418554,xQ1AmA0OicNZwtTMN6ypKi,VI,USD,USD,1,4383826,100,100,100,-3.36930526,0,0,0,0,0,-0.10381053,0,0,96.52688421
3/3/2025,TD,418554,cCcxBnREFQX7U0yu5KD0i4,VI,USD,USD,1,4383826,0,0,0,-0.0375,0,0,0,0,0,-0.06,0,0,-0.0975
3/3/2025,TD,418554,1003465636,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.29062113,0,0,0,0,0,-0.10387164,0,0,0.66550723
3/3/2025,TD,418554,XAMpJXlYT3X1lfOtEknamQ,VI,USD,USD,1,4383826,0,0,0,-0.05695652,0,0,0,0,0,-0.11956522,0,0,-0.17652174
3/3/2025,TD,418554,7L6Xz6vxhNCocjsIvIjHQ,VI,USD,USD,1,4383826,0,0,0,-0.1425,0,0,0,0,0,-0.2,0,0,-0.3425
3/3/2025,TD,418554,WptGHHet8a9OHugXaDZcW4,VI,USD,USD,1,4383826,0,0,0,-0.03571429,0,0,0,0,0,-0.06,0,0,-0.09571429
3/3/2025,TD,418554,1007487962,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26402128,0,0,0,0,0,-0.10357447,0,0,0.69240425
3/3/2025,TD,418554,1003569977,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.29062113,0,0,0,0,0,-0.10387164,0,0,0.66550723
3/3/2025,TD,418554,oduuVMIaRlaGM6oahSJY7g,VI,USD,USD,1,4383826,0,0,0,-0.04571429,0,0,0,0,0,-0.06,0,0,-0.10571429
3/3/2025,TD,418554,4Yd06yZITnOScQgjs0ivdw,VI,USD,USD,1,4383826,0,0,0,-0.382,0,0,0,0,0,-0.06,0,0,-0.442
3/3/2025,TD,418554,Md41qb13S6uqzwicmjpu8w,VI,USD,USD,1,4383826,115,115,115,-2.91994653,0,0,0,0,0,-0.10320856,0,0,111.9768449
3/3/2025,TD,418554,uhD9OVTYThmbh4iglxdwEw,VI,USD,USD,1,4383826,0,0,0,-0.0675,0,0,0,0,0,-0.09,0,0,-0.1575
3/3/2025,TD,418554,7OhnphdhSLKCXSE4DijDMg,VI,USD,USD,1,4383826,10,10,10,-3.05253385,0,0,0,0,0,-0.10334623,0,0,6.84411992
3/3/2025,TD,418554,1004507919,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26398495,0,0,0,0,0,-0.10375939,0,0,0.69225566
3/3/2025,TD,418554,2tEKTVbzRNqYprsXDKhP3w,VI,USD,USD,1,4383826,155,155,155,-2.99642857,0,0,0,0,0,-0.10428571,0,0,151.8992857
3/3/2025,TD,418554,rMLLLp7bt5UOtA3Ua0iM6T,VI,USD,USD,1,4383826,100,100,100,-30.536,0,0,0,0,0,-0.1038,0,0,69.3602
3/3/2025,TD,418554,96GqkfZUSYahHwBQc909Ug,VI,USD,USD,1,4383826,0,0,0,-0.0675,0,0,0,0,0,-0.09,0,0,-0.1575
3/3/2025,TD,418554,8tn0EW51REOITcZbb2GPfg,VI,USD,USD,1,4383826,21000.2,21000.2,21000.2,-49.42466668,0,0,0,0,0,-0.104,0,0,20950.67133
3/3/2025,TD,418554,DWtFakDFTXSvq7glfPC5yw,VI,USD,USD,1,4383826,0,0,0,-0.05666667,0,0,0,0,0,-0.11916667,0,0,-0.17583334
3/3/2025,TD,418554,piwR8FCNSJiKZcYOOpqY4A,VI,USD,USD,1,4383826,0,0,0,-0.02722222,0,0,0,0,0,-0.05944444,0,0,-0.08666666
3/3/2025,TD,418554,sMgworIOYbW67mCiy2kio,VI,USD,USD,1,4383826,0,0,0,-0.13222224,0,0,0,0,0,-0.19944444,0,0,-0.33166668
3/3/2025,TD,418554,vQpBQOmqT9Xk6drggyjGFA,VI,USD,USD,1,4383826,10,10,10,-2.9747619,0,0,0,0,0,-0.10428571,0,0,6.92095239
3/3/2025,TD,418554,1008583032,VI,USD,USD,1,4383826,1.06,1.06,1.06,-7.0854365,0,0,0,0,0,-0.10373015,0,0,-6.12916665
3/3/2025,TD,418554,XxffKRPsQ6qPEPUC082tTg,VI,USD,USD,1,4383826,10,10,10,-0.73,0,0,0,0,0,-0.16923077,0,0,9.10076923
3/3/2025,TD,418554,1fp5iQ12pD29CfYykqjJ0B,VI,USD,USD,1,4383826,100,100,100,-30.53575652,0,0,0,0,0,-0.10376522,0,0,69.36047826
3/3/2025,TD,418554,1004374679,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.29032037,0,0,0,0,0,-0.10382151,0,0,0.66585812
3/3/2025,TD,418554,2YKEOHBjLRs5ZXB7PTIgk4,VI,USD,USD,1,4383826,100,100,100,-30.536,0,0,0,0,0,-0.1038,0,0,69.3602
3/3/2025,TD,418554,2VM3azlj1QXZhpgbVs4wP5,VI,USD,USD,1,4383826,70,70,70,-0.95571429,0,0,0,0,0,-0.105,0,0,68.93928571
3/3/2025,TD,418554,29EXA4UQXU1IAIwrWJgWZF,VI,USD,USD,1,4383826,100,100,100,-3.61942308,0,0,0,0,0,-0.10423077,0,0,96.27634615
3/3/2025,TD,418554,qnY2oXazRS6M9GgpeBt8VA,VI,USD,USD,1,4383826,5,5,5,-40.8431324,0,0,0,0,0,-0.10401891,0,0,-35.94715131
3/3/2025,TD,418554,ClohGmGsRRC2HRHz1D3qig,VI,USD,USD,1,4383826,10,10,10,-0.61714286,0,0,0,0,0,-0.10452381,0,0,9.27833333
3/3/2025,TD,418554,qPOXY20kQCmURWn2eRYyjA,VI,USD,USD,1,4383826,21000.2,21000.2,21000.2,-52.99128571,0,0,0,0,0,-0.10428571,0,0,20947.10443
3/3/2025,TD,418554,1002025587,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26416413,0,0,0,0,0,-0.10386018,0,0,0.69197569
3/3/2025,TD,418554,YiFYz0AmTSOID8LwF9Cc7w,VI,USD,USD,1,4383826,0,0,0,-0.03,0,0,0,0,0,-0.06,0,0,-0.09
3/3/2025,TD,418554,xOQu5wTG7ezOpjDBkYbcn3,VI,USD,USD,1,4383826,0,0,0,-0.056875,0,0,0,0,0,-0.119375,0,0,-0.17625
3/3/2025,TD,418554,1003041280,VI,USD,USD,1,4383826,1.06,1.06,1.06,-12.98295652,0,0,0,0,0,-0.10356522,0,0,-12.02652174
3/3/2025,TD,418554,ScatClC1Qly64TwhqGc1Xw,VI,USD,USD,1,4383826,5,5,5,-2.96997973,0,0,0,0,0,-0.19758865,0,0,1.83243162
3/3/2025,TD,418554,7tqyxl94EEKBycYRzh0Bp6,VI,USD,USD,1,4383826,12.34,12.34,12.34,-0.63636364,0,0,0,0,0,-0.09909091,0,0,11.60454545
3/3/2025,TD,418554,HJDTdfLxQAauYBsUG439lQ,VI,USD,USD,1,4383826,0,0,0,-0.07,0,0,0,0,0,-0.09,0,0,-0.16
3/3/2025,TD,418554,1005297587,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26547619,0,0,0,0,0,-0.10464286,0,0,0.68988095
3/3/2025,TD,418554,QwyNNPscRHDCuPPfCPZT3Q,VI,USD,USD,1,4383826,100,100,100,-2.90204848,0,0,0,0,0,-0.10384242,0,0,96.9941091
3/3/2025,TD,418554,uKNyG5XySDiECASO5FJN3w,VI,USD,USD,1,4383826,10,10,10,-28.32608888,0,0,0,0,0,-0.10367407,0,0,-18.42976295
3/3/2025,TD,418554,1004452503,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26414286,0,0,0,0,0,-0.10352381,0,0,0.69233333
3/3/2025,TD,418554,1004981739,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.29049955,0,0,0,0,0,-0.1039223,0,0,0.66557815
3/3/2025,TD,418554,c4kLuNMbfSz9e8JfbpBLc5,VI,USD,USD,1,4383826,0,0,0,-0.13793652,0,0,0,0,0,-0.19944444,0,0,-0.33738096
3/3/2025,TD,418554,5ZCPewvTdyq7DGcYWbUji6,VI,USD,USD,1,4383826,0,0,0,-0.07000001,0,0,0,0,0,-0.09,0,0,-0.16000001
3/3/2025,TD,418554,Wow2PXTlQTmF28oz2sygAA,VI,USD,USD,1,4383826,15,15,15,-0.81714286,0,0,0,0,0,-0.09952381,0,0,14.08333333
3/3/2025,TD,418554,G0TIXb5aQfOJxrC2zI9fIQ,VI,USD,USD,1,4383826,0,0,0,-0.18818182,0,0,0,0,0,-0.05909091,0,0,-0.24727273
3/3/2025,TD,418554,1006704901,VI,USD,USD,1,4383826,1.06,1.06,1.06,-0.26464286,0,0,0,0,0,-0.105,0,0,0.69035714
3/3/2025,TD,418554,TSeRYjeWSSiF99FSwkOIVw,VI,USD,USD,1,4383826,0,0,0,-0.07000001,0,0,0,0,0,-0.09,0,0,-0.16000001
3/3/2025,TD,418554,oPKi3uRmQMyBLnu3ZaObTQ,VI,USD,USD,1,4383826,0,0,0,-0.027,0,0,0,0,0,-0.0595,0,0,-0.0865
3/3/2025,TD,418554,P6JMJjO6QkGGJy4ziGr70A,VI,USD,USD,1,4383826,10,10,10,-37.582,0,0,0,0,0,-0.104,0,0,-27.686
3/3/2025,TD,418554,wNyZ81G8dIfhgO36sb9oqX,VI,USD,USD,1,4383826,100,100,100,-3.05283688,0,0,0,0,0,-0.10342199,0,0,96.84374113
3/3/2025,TD,418554,3LkAsh9oSEXXBeSGHmzEeg,VI,USD,USD,1,4383826,10,10,10,-52.33648571,0,0,0,0,0,-0.10388571,0,0,-42.44037142
3/3/2025,TD,418554,4JjsbYKTT7XYrrW8drVrdg,VI,USD,USD,1,4383826,10,10,10,-0.67571429,0,0,0,0,0,-0.1,0,0,9.22428571
3/3/2025,TD,418554,B9ptDk6VRBOf78B7wQNyvg,VI,USD,USD,1,4383826,5,5,5,-2.75878599,0,0,0,0,0,-0.10369212,0,0,2.13752189
3/3/2025,TD,418554,gPPq2B2GRSODMfI9nhsB5A,VI,USD,USD,1,4383826,0,0,0,-0.06857144,0,0,0,0,0,-0.09,0,0,-0.15857144
3/3/2025,TD,418554,gmbv4yioTJqTgECJjG47tg,VI,USD,USD,1,4383826,10,10,10,-3.36906178,0,0,0,0,0,-0.10377575,0,0,6.52716247
